"sistema";"fase";"codigo";"ruta";"ambito";"titulo";"encaje_modelo";"premisa";"audiencia";"senal_entrada";"oferta";"canales";"embudo";"metrica_norte";"regla_decision";"activos";"cualificacion";"evidencia";"limites"
"Compra de coches con cargas";"Siguiente";"C";"Crear demanda";"Mercado → interés";"Resolver incertidumbre antes de tasar";"82";"Explicar opciones reales, documentación y proceso para captar a quien todavía no sabe si puede vender.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un sistema por problema del vehículo con tasación y señal económica offline.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Árbol de situaciones, checklist documental, contenido de proceso y ejemplos solo cuando sean verificables. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Compra y margen importados por origen, junto con tiempos reales de tasación y recogida.";"No garantizar valoración, cancelación de cargas ni recogida sin revisar documentación, zona y capacidad. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Compra de coches con cargas";"Siguiente";"D";"Expandir la cuenta";"Resultado → crecimiento";"Escalar problema × provincia × margen";"89";"Mover presupuesto hacia combinaciones que producen compra y margen neto, aunque el CPL sea más alto.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de vehículo valorable, oferta aceptada, recogida y margen y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Compra y margen importados por origen, junto con tiempos reales de tasación y recogida. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No garantizar valoración, cancelación de cargas ni recogida sin revisar documentación, zona y capacidad. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Clínicas estéticas";"Siguiente";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un piloto por tratamiento que mida valoración asistida y venta";"73";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Clínicas con tratamiento de alto valor, coordinador comercial, agenda disponible y casos autorizados.";"Invierten en visibilidad, pero mezclan tratamientos, optimizan a lead barato o pierden la cita en recepción.";"Revisión de tratamiento, huecos, coordinador, seguimiento, financiación, prueba y registro de ingresos.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir valoración asistida, tratamiento vendido e ingreso.";"Agenda, asistencia, presupuesto y tratamiento vendido devueltos por campaña y creatividad. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No diagnosticar, señalar defectos personales ni garantizar resultados; revisión clínica y publicitaria obligatoria. | No inventar clientes, resultados, precios ni personalización."
"Clínicas estéticas";"Siguiente";"B";"Capturar intención";"Empresa → oportunidad";"Tratamiento único con intención alta";"80";"Búsquedas de injerto, tratamiento facial o corporal concreto conectadas a valoración y venta, no a formulario genérico.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Tratamiento, motivación, zona, plazo, disponibilidad, rango económico y aceptación de valoración clínica.";"Captación y cualificación hasta valoración asistida, tratamiento vendido e ingreso.";"Google Search | Meta Ads";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"valoración asistida, tratamiento vendido e ingreso";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Tratamiento, motivación, zona, plazo, disponibilidad, rango económico y aceptación de valoración clínica. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Agenda, asistencia, presupuesto y tratamiento vendido devueltos por campaña y creatividad. | Consultas, llamadas y resultados trazados por campaña y término.";"No diagnosticar, señalar defectos personales ni garantizar resultados; revisión clínica y publicitaria obligatoria. | No escalar por CPL si cae la calidad o la contribución."
"Clínicas estéticas";"Siguiente";"C";"Crear demanda";"Mercado → interés";"Educación visual sin explotar inseguridad";"78";"Resolver dudas de proceso, profesional, recuperación y financiación con comunicación clínica aprobada.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un piloto por tratamiento que mida valoración asistida y venta.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Profesional real, instalaciones, explicación del proceso y casos con permiso expreso y contexto suficiente. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Agenda, asistencia, presupuesto y tratamiento vendido devueltos por campaña y creatividad.";"No diagnosticar, señalar defectos personales ni garantizar resultados; revisión clínica y publicitaria obligatoria. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Clínicas estéticas";"Siguiente";"D";"Expandir la cuenta";"Resultado → crecimiento";"Expandir por tratamiento rentable";"82";"Abrir un segundo tratamiento o zona solo después de estabilizar show, cierre y contribución del primero.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de valoración asistida, tratamiento vendido e ingreso y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Agenda, asistencia, presupuesto y tratamiento vendido devueltos por campaña y creatividad. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No diagnosticar, señalar defectos personales ni garantizar resultados; revisión clínica y publicitaria obligatoria. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Climatización y aerotermia";"Validar";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un sistema por servicio y franja conectado a capacidad técnica";"81";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Instaladores con servicios y tickets definidos, agenda técnica visible y atención inmediata de llamadas.";"Existe demanda, pero urgencias, reparación, instalación y aerotermia compiten por el mismo presupuesto y teléfono.";"Revisión de llamadas perdidas, zonas, horario, ticket mínimo, disponibilidad, visita y valor del trabajo.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir llamada válida, visita, presupuesto, trabajo ganado y valor.";"Grabación y clasificación de llamadas, agenda técnica y valor final del trabajo. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No anunciar atención, ahorro, subvención o instalación inmediata si la operación no puede sostenerlo. | No inventar clientes, resultados, precios ni personalización."
"Climatización y aerotermia";"Validar";"B";"Capturar intención";"Empresa → oportunidad";"Urgencia y proyecto en funnels distintos";"90";"Llamada directa para urgencia; landing cualificada para instalación, sustitución o aerotermia.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Servicio, inmueble, metros, equipo, avería, zona, plazo, propietario y disponibilidad de visita.";"Captación y cualificación hasta llamada válida, visita, presupuesto, trabajo ganado y valor.";"Google Search | campañas de llamada";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"llamada válida, visita, presupuesto, trabajo ganado y valor";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Servicio, inmueble, metros, equipo, avería, zona, plazo, propietario y disponibilidad de visita. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Grabación y clasificación de llamadas, agenda técnica y valor final del trabajo. | Consultas, llamadas y resultados trazados por campaña y término.";"No anunciar atención, ahorro, subvención o instalación inmediata si la operación no puede sostenerlo. | No escalar por CPL si cae la calidad o la contribución."
"Climatización y aerotermia";"Validar";"C";"Crear demanda";"Mercado → interés";"Pretemporada y decisión energética";"84";"Crear demanda antes del pico con sustitución, eficiencia y planificación, sin depender solo de averías.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un sistema por servicio y franja conectado a capacidad técnica.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Comparativas técnicas revisadas, proceso de visita, explicación de consumo y trabajos reales autorizados. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Grabación y clasificación de llamadas, agenda técnica y valor final del trabajo.";"No anunciar atención, ahorro, subvención o instalación inmediata si la operación no puede sostenerlo. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Climatización y aerotermia";"Validar";"D";"Expandir la cuenta";"Resultado → crecimiento";"Escalar servicio × franja × capacidad";"79";"Activar o pausar combinaciones según técnicos, llamadas atendidas, trabajo ganado y margen.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de llamada válida, visita, presupuesto, trabajo ganado y valor y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Grabación y clasificación de llamadas, agenda técnica y valor final del trabajo. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No anunciar atención, ahorro, subvención o instalación inmediata si la operación no puede sostenerlo. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Reformas integrales";"Validar";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un piloto por tipología de obra con filtro económico y seguimiento";"76";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Empresas de reforma integral o cocina premium con portfolio propio, ticket mínimo y disciplina de presupuesto.";"Tienen buenos trabajos, pero captan proyectos pequeños, tardan en presupuestar o no siguen decisiones largas.";"Revisión de zona, tipología, ticket, portfolio, capacidad de visita, plazo de presupuesto y margen de obra.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir proyecto cualificado, visita, presupuesto, obra ganada y margen.";"Portfolio propio, fecha real de presupuesto, causa de pérdida y margen por obra. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No usar obras ajenas ni prometer precio o plazo sin alcance; el presupuesto mínimo debe ser real. | No inventar clientes, resultados, precios ni personalización."
"Reformas integrales";"Validar";"B";"Capturar intención";"Empresa → oportunidad";"Microvertical con presupuesto mínimo";"77";"Reforma integral, cocina o rehabilitación separadas para filtrar alcance, propiedad y capacidad económica.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Propiedad, zona, metros, alcance, presupuesto, fecha, decisores y disponibilidad de visita.";"Captación y cualificación hasta proyecto cualificado, visita, presupuesto, obra ganada y margen.";"Google Search | Meta casos reales";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"proyecto cualificado, visita, presupuesto, obra ganada y margen";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Propiedad, zona, metros, alcance, presupuesto, fecha, decisores y disponibilidad de visita. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Portfolio propio, fecha real de presupuesto, causa de pérdida y margen por obra. | Consultas, llamadas y resultados trazados por campaña y término.";"No usar obras ajenas ni prometer precio o plazo sin alcance; el presupuesto mínimo debe ser real. | No escalar por CPL si cae la calidad o la contribución."
